daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,day_index,date,controller
481.872182809301,192.304919790267,481.872182809301,11165.3367175626,0,0,5543.07252153121,496.453681760641,1584.7,1584.7,100,1584.7,1,0,0,811.616942971447,811.616942971447,14,212.488409091107,192.307309327312,163.055113299579,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.00317624781528,0,2019-10-01,no_battery
458.656026425347,178.530263864407,458.656026425347,11442.8083197787,0,0,5190.76871115363,453.627166172266,1639,1639,100,1639,1,0,0,795.433658773249,795.433658773249,17,253.801831470524,172.171867401373,139.597885257115,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.85969024858757,1,2019-10-02,no_battery
470.628481946938,202.310144354393,470.628481946938,11248.5313287901,0,0,6010.94546167605,534.37602527641,1694.9,1694.9,100,1694.9,1,0,0,810.061517391848,810.061517391848,18,337.904607702154,192.077254976296,155.997990815571,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.10739733702493,2,2019-10-03,no_battery
510.849772589758,193.633872027184,510.849772589758,11798.0483395621,0,0,5938.76593199812,503.368503084008,939.8,939.8,100,939.8,1,0,0,774.52536359043,774.52536359043,20,223.797613940697,147.724538531949,124.090449886182,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.01701950028317,3,2019-10-04,no_battery
411.7097001087,171.753357753416,411.7097001087,10847.9294469444,0,0,5427.88811386425,500.361671820528,1247.3,1247.3,100,1247.3,1,0,0,701.011905564687,701.011905564687,5,13.2777545105423,149.411008893001,125.777794394957,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.78909747659808,4,2019-10-05,no_battery
267.166644462183,124.090168529242,267.166644462183,8380.49653126777,0,0,3976.83412990767,474.534428248975,1325.1,1325.1,100,1325.1,1,0,0,504.238594817891,504.238594817891,0,0,138.36453899452,109.381706172848,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.29260592217961,5,2019-10-06,no_battery
243.558225757006,110.828257833843,243.558225757006,5832.33230914544,44.3123007413651,44.3123007413651,3172.57766208261,543.963802801124,1989.8,1945.48769925863,97.7730274026854,1945.48769925863,0.977730274026854,0,0,422.939971017871,422.939971017871,0,0,164.157734667913,130.101310717438,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.15446101910253,6,2019-10-07,no_battery
400.336899474383,172.436887541713,400.336899474383,11612.9866256636,0,0,5171.56127665271,445.325689536578,779.3,779.3,100,779.3,1,0,0,795.413971910145,795.413971910145,13,196.214948249907,176.2004970558,144.554234143147,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.79621757855951,7,2019-10-08,no_battery
411.631508064009,171.261185427289,411.631508064009,11622.6112868696,0,0,5073.35244903523,436.50710875677,1103.7,1103.7,100,1103.7,1,0,0,809.012826570892,809.012826570892,20,240.979109212036,166.280601470034,141.068879668451,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.78397068153426,8,2019-10-09,no_battery
353.097828148398,155.038004598214,353.097828148398,11268.972330848,0,0,4383.98920504546,389.031854576891,1621.7,1621.7,100,1621.7,1,0,0,787.361928790042,787.361928790042,19,265.065802946933,186.557186166505,154.884834114405,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.61497921456473,9,2019-10-10,no_battery
258.155471662033,122.730655322353,258.155471662033,10826.4264654368,0,0,3496.17310251785,322.929557013048,1678,1678,100,1678,1,0,0,760.456965524923,760.456965524923,12,113.555318619362,172.584365241872,141.874933721381,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.27844432627451,10,2019-10-11,no_battery
244.362363817885,129.745542199439,244.362363817885,9359.46026327418,0,0,3808.15879301411,406.878034191463,2333.3,2333.3,100,2333.3,1,0,0,650.464331039409,650.464331039409,0,0,195.507134232794,156.047438861648,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.35151606457749,11,2019-10-12,no_battery
146.319979525757,97.3848231990351,146.319979525757,7303.06610310337,58.219149267627,58.219149267627,2843.89572786854,389.411199038723,2325.2,2266.98085073237,97.4961659527083,2266.98085073237,0.974961659527083,0,0,460.4790183229,460.4790183229,0,0,185.082243406,142.90875887598,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.01442524165662,12,2019-10-13,no_battery
182.824064629011,98.159440108849,182.824064629011,5581.40893872414,446.12475554248,446.12475554248,2660.83434024578,476.731658521697,2654.2,2208.07524445752,83.1917430659905,2208.07524445752,0.831917430659905,0,0,390.642576688087,390.642576688087,0,0,191.425192781609,144.644943047704,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.02249416780051,13,2019-10-14,no_battery
456.831666319332,223.231167440182,456.831666319332,10266.3652846188,0,0,5680.59840045223,553.321281969478,2018.2,2018.2,100,2018.2,1,0,0,741.265575439575,741.265575439575,16,104.701363789558,202.92641013389,176.063050894547,0,0,1,0,0,240.028103831373,0,410.352494581055,0.55,0.55,0.55,0,0,0,0,0,-2.32532466083523,14,2019-10-15,no_battery
